,701_A53T
3.54,0.05982446438288402
3.55,0.042395228030085566
3.56,0.027041462721273002
3.57,0.019461583335787097
3.58,0.020046046230235176
3.59,0.024570030868048237
3.6,0.027161641747447687
3.61,0.023329739345960415
3.62,0.01158936975262953
3.63,-0.006528565676267417
3.64,-0.027385698620615045
3.65,-0.04600480936709561
3.66,-0.05649900794470922
3.67,-0.0531473300924209
3.68,-0.03252954238696418
3.69,0.004526621894113236
3.7,0.05270319792466462
3.71,0.10402951248783843
3.72,0.15093163344845573
3.73,0.18869656374628646
3.74,0.21579997109764798
3.75,0.23244634570816378
3.76,0.23910846798192378
3.77,0.2360124154179
3.78,0.2231422364269913
3.79,0.20043640419564784
3.8,0.16834008432153177
3.81,0.12858883367915883
3.82,0.08478503936303285
3.83,0.042268322294082436
3.84,0.006806999383544718
3.85,-0.017554803641905495
3.86,-0.030029753393876313
3.87,-0.03288444700370591
3.88,-0.029951395792210816
3.89,-0.024916762472115772
3.9,-0.019936976892797664
3.91,-0.015040044204088734
3.92,-0.008751195412415314
3.93,0.00044580092378779246
3.94,0.012742368210550359
3.95,0.026327606461959488
3.96,0.037758899483101266
3.97,0.04338983914745711
3.98,0.040819736851344275
3.99,0.029091341052076516
4.0,0.007882952616830585
4.01,-0.022825935539477482
4.02,-0.061820064322704565
4.03,-0.10505123131736621
4.04,-0.14477357334368757
4.05,-0.1707222533272179
4.06,-0.1734246183215929
4.07,-0.1481142582430243
4.08,-0.09731610304044222
4.09,-0.030962366503936523
4.1,0.036283637792363335
4.11,0.08984284459211112
4.12,0.1200722626974976
4.13,0.12472481198711477
4.14,0.10832548619498435
4.15,0.07951797265165217
4.16,0.047757980195778066
4.17,0.020689937292446545
4.18,0.00325730702358229
4.19,-0.0016923727830122082
4.2,0.007402128821124079
4.21,0.03100867468572062
4.22,0.06811588920400258
4.23,0.11554709649595224
4.24,0.16758422331507558
4.25,0.21677232593700474
4.26,0.2559412299503435
4.27,0.2804158107474296
4.28,0.2893208105738283
4.29,0.2852357661643775
4.3,0.27212081141665745
4.31,0.253019297353934
4.32,0.22981310295301394
4.33,0.2052185769250558
4.34,0.1843830367654951
4.35,0.1735662006793845
4.36,0.176295942616785
4.37,0.19001808763598443
4.38,0.20640051989111646
4.39,0.21565407871492376
4.4,0.21172082926099955
4.41,0.19474499611466145
4.42,0.1700016260495837
4.43,0.1446469425813627
4.44,0.12387021885184835
4.45,0.10816228498934141
4.46,0.09357591126845856
4.47,0.07523349780723496
4.48,0.051755895488144285
4.49,0.027493675737131948
4.5,0.010941281606298883
4.51,0.01019309217668174
4.52,0.02843302995778968
4.53,0.062418307946051715
4.54,0.104253612251365
4.55,0.14433102855253144
4.56,0.17360334291495735
4.57,0.18490938798560064
4.58,0.17381087565521341
4.59,0.13952656721049417
4.6,0.08609414944224335
4.61,0.022645852986728943
4.62,-0.038539329699702224
4.63,-0.085784771012407
4.64,-0.1116423972419949
4.65,-0.11474206290072864
4.66,-0.09920890434433047
4.67,-0.07209707351404993
4.68,-0.04047252855967201
4.69,-0.009807219582505328
4.7,0.01616254989294065
4.71,0.03502307889728477
4.72,0.045399077535008735
4.73,0.047224725110433276
4.74,0.042598093522930786
4.75,0.036204481161910634
4.76,0.034185642260651905
4.77,0.04175604743304815
4.78,0.060879965180107305
4.79,0.08910791733032565
4.8,0.12028499690374306
4.81,0.14717782444202282
4.82,0.1646544566498515
4.83,0.17153252527244797
4.84,0.17050564225193243
4.85,0.16668288272948092
4.86,0.16526298396721867
4.87,0.1691079449933226
4.88,0.1775016862909225
4.89,0.18683016355640852
4.9,0.19267371359867513
4.91,0.19216452026584943
4.92,0.18545577326337703
4.93,0.1755373371642601
4.94,0.16665043367426668
4.95,0.16237559257925044
4.96,0.16420078371808808
4.97,0.17096196363427177
4.98,0.1795482511784111
4.99,0.18662795041944125
5.0,0.19013015145962092
